title,author,publisher,price,original_price,discount,rating,image_url,book_url
Yırtıcı Kuşlar Zamanı,Ahmet Ümit,YAPI KREDİ YAYINLARI,"198,04",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11939264/wi:100/wh:true,https://www.kitapyurdu.com/kitap/yirtici-kuslar-zamani/693223.html
Günübirlik Hayatlar,Irvin D. Yalom,PEGASUS YAYINLARI,"177,30",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1031985/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gunubirlik-hayatlar/369623.html
Dil Belası - Dilin Afetleri,İmam Gazali,ÇELİK YAYINEVİ,"94,10",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11501990/wi:100/wh:true,https://www.kitapyurdu.com/kitap/dil-belasi-dilin-afetleri/409457.html
Beni Kandıramaz,Orhan Toker,ACAYİP KİTAPLAR,"60,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12069989/wi:100/wh:true,https://www.kitapyurdu.com/kitap/beni-kandiramaz/721053.html
Saç Örgüsü,Laetitia Colombani,YAN PASAJ,"166,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11995193/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sac-orgusu/541590.html
Naneyi Yedik Lokantası,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,14",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11890861/wi:100/wh:true,https://www.kitapyurdu.com/kitap/naneyi-yedik-lokantasi/682156.html
Algernon'a Çiçekler,Daniel Keyes,KORİDOR YAYINCILIK,"150,40",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1013537/wi:100/wh:true,https://www.kitapyurdu.com/kitap/algernona-cicekler/363597.html
Yıldızlara Yakın,Metin Özdamarlar,TİMAŞ İLK GENÇ,"99,69",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12084960/wi:100/wh:true,https://www.kitapyurdu.com/kitap/yildizlara-yakin/724264.html
Çöl Çiçeği,Waris Dirie,BİLGE KÜLTÜR SANAT,"153,75",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11977250/wi:100/wh:true,https://www.kitapyurdu.com/kitap/col-cicegi/44348.html
Martıya Uçmayı Öğreten Kedi,Luis Sepulveda,CAN ÇOCUK YAYINLARI,"85,82",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11477619/wi:100/wh:true,https://www.kitapyurdu.com/kitap/martiya-ucmayi-ogreten-kedi/16956.html
Söyleme Bilmesinler,Şermin Yaşar,DOĞAN KİTAP,"150,30",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11997716/wi:100/wh:true,https://www.kitapyurdu.com/kitap/soyleme-bilmesinler/668247.html
Puslu Kıtalar Atlası,İhsan Oktay Anar,İLETİŞİM YAYINLARI,"206,41",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11422412/wi:100/wh:true,https://www.kitapyurdu.com/kitap/puslu-kitalar-atlasi/1650.html
Cumhuriyet’in İlk Sabahı,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,"135,58",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12094573/wi:100/wh:true,https://www.kitapyurdu.com/kitap/cumhuriyetin-ilk-sabahi/649012.html
Körlük,Jose Saramago,KIRMIZI KEDİ YAYINEVİ,"178,08",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11948029/wi:100/wh:true,https://www.kitapyurdu.com/kitap/korluk/648531.html
Bugün Kalan Hayatımın İlk Günü,Maud Ankaoua,YAN PASAJ,"217,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11733854/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bugun-kalan-hayatimin-ilk-gunu/524229.html
İçimdeki Müzik,Sharon M. Draper,TİMAŞ GENÇ,"146,28",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11822557/wi:100/wh:true,https://www.kitapyurdu.com/kitap/icimdeki-muzik/389502.html
Bunun Adı Findel,Andrew Clements,GÜNIŞIĞI KİTAPLIĞI,"135,89",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1131388/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bunun-adi-findel/101773.html
Ayvayı Yedik Müzesi,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,24",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11762369/wi:100/wh:true,https://www.kitapyurdu.com/kitap/ayvayi-yedik-muzesi/657730.html
Çantamdan Fil Çıktı,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,54",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11708106/wi:100/wh:true,https://www.kitapyurdu.com/kitap/cantamdan-fil-cikti/648024.html
Tersine Okul,Funda Uçuk Er,TİMAŞ ÇOCUK YAYINLARI,"68,75",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12083542/wi:100/wh:true,https://www.kitapyurdu.com/kitap/tersine-okul/723921.html
İrade Terbiyesi,Jules Payot,KAPRA YAYINCILIK,"22,85",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11350115/wi:100/wh:true,https://www.kitapyurdu.com/kitap/irade-terbiyesi/570169.html
Bin Dokuz Yüz Seksen Dört - 1984,George Orwell,KAPRA YAYINCILIK,"22,85",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11338358/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bin-dokuz-yuz-seksen-dort-1984/567810.html
Sırların Sırrı,Dan Brown,ALTIN KİTAPLAR,"479,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12096547/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sirlarin-sirri/727573.html
Güneşi Bile Tamir Eden Adam,Behiç Ak,GÜNIŞIĞI KİTAPLIĞI,"153,13",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1131389/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gunesi-bile-tamir-eden-adam/104147.html
Hyunam - Dong Kitabevi,Hwang Bo - Reum,ATHİCA YAYINLARI,"179,55",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11862714/wi:100/wh:true,https://www.kitapyurdu.com/kitap/hyunam-dong-kitabevi-/677221.html
Kınalı Serçe,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,"169,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12006627/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kinali-serce/705985.html
Çiçeklenmeler,Melisa Kesmez,İLETİŞİM YAYINLARI,"129,42",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11994492/wi:100/wh:true,https://www.kitapyurdu.com/kitap/ciceklenmeler/704897.html
